Sun Jun  4 15:52:59 2023    binary.txt

         404339 function calls (403851 primitive calls) in 0.347 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     68/8    0.000    0.000    0.025    0.003 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       19    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        9    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:386(<listcomp>)
      107    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\__init__.py:163(match)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        1    0.000    0.000    0.003    0.003 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\pickle.py:1(<module>)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
       46    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\enum.py:809(__setattr__)
       57    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       12    0.000    0.000    0.002    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:571(_code)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
      118    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:284(tell)
        1    0.000    0.000    0.001    0.001 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\urllib\parse.py:1(<module>)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
       24    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\enum.py:1483(__and__)
       35    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:367(_escape)
        7    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\threading.py:1(<module>)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1032(__exit__)
      109    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:170(append)
       29    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\traceback.py:1(<module>)
      209    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1028(__enter__)
        1    0.000    0.000    0.001    0.001 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\selectors.py:1(<module>)
      182    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.003    0.003 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\pathlib.py:1(<module>)
        3    0.000    0.000    0.003    0.001 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\tokenize.py:392(open)
        8    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\pickle.py:197(<listcomp>)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       42    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:396(_simple)
       24    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
        9    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:384(_mk_bitmap)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       92    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:109(__init__)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
        3    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
